Fcilty_nam","Shp_num_an","Locality","Xcoord","Ycoord","uuid"
"Idea Mobile","Av Paseo Tabasco 1002, Jesus Garcia, 86040 Villahermosa, Tab., México","NUEVA VILLAHERMOSA","-92.9361916","17.9929713","67"
"Integra Espacios Sa De Cv","Calle Sirio 3302, Reserva Territorial Atlixcáyotl, Centros Comerciales Desarrollo Atlixcayotl, Puebla, Pue., México","PUEBLA","-98.2380214","19.0336002","68"
"JR International Group","Paseo Los Cabos 150 Loc 8 Plaza Las Velas Col. Campo De Golf San Jose del Cabo, Col. Campo De Golf, Zona Hotelera, 23406 San José del Cabo, B.C.S., México","BAJA CALIFORNIA SUR","-109.7051717","23.043473","69"
"Mobiliart","Durango, Dgo., México","DURANGO","-104.7177652","24.0226824","70"
"Mödul Studio - Cocinas Integrales","PB, Monte Líbano 2, Lomas de Chapultepec, Miguel Hidalgo, 11000 Ciudad de México, CDMX, México","CDMX","-99.2172768","19.4188836","71"
"Modulares Contemporáneos","Blvd. Campestre 505, Jardines del Moral, 37160 León, Gto., México","GUANAJUATO","-101.6921327","21.1486626","72"
"MOROSINI","R. de la Plata 101, Fuentes del Valle Sector 7, 66220 San Pedro Garza García, N.L., México","NUEVO LEON","-100.3704219","25.6581551","73"
"Solesdi","Real de Acueducto 125, Puerta de Hierro, 45116 Zapopan, Jal., México","CDMX","-99.1972641","19.4278734","74"
"Spazio Cucina","Av. Tercer Milenio 292, Lomas del Tecnologico, San Luis, S.L.P., México","SAN LUIS","-101.1012236","22.1252605","75"
"Ruiz T Distribucion SA de CV","De los Generales, Centro Habitacional, 85900 Huatabampo, Son., México","HUATABAMPO","-109.7789902","26.8317444","76"
"Solesdi Plaza Unicenter","Real de Acueducto 125, Puerta de Hierro, 45116 Zapopan, Jal., México","JALISCO","-103.4131532","20.7100122","77"
"Valvo, Design and Architecture in Bathrooms + Kitchens","11510 Los Morales Polanco, Juan Vazquez de Mella 481, Polanco, Polanco I Secc, Miguel Hidalgo, 11510 Ciudad de México, CDMX, México","CDMX","-99.211217","19.4335104","78"
"KITCHEN & BATH COLLECTION","Blvd. Riviera Nayarit #1480 Local 8 Col. Nuevo Vallarta, Bahía de Banderas, Nayarit CP: 63735","Nuevo Vallarta","-105.2774907","20.7153118","79"
